Name,Country,Start year,End year,Proven victims,Possible victims,Notes,Continent,Country Sorted,Killer Type,Decade
Terry Blair,United States,1982,2004,7,9,Kansas City serial killer and rapist; active 1982–2004. Sentenced to life.,North America,United States,Male,1980s
Doug Clark,United States,1980,1989,7,8,"Boiler operator who killed sex workers in Los Angeles. One of the ""Sunset Strip Killers"".",North America,United States,Male,1980s
Stanisław Modzelewski,Poland,1952,1967,7,8,"Known as ""The Vampire of Gałkówek"". Confessed to strangling eight women, but convicted of seven because one of the bodies was never found.",Europe,Poland,Male,1950s
Michael Hughes,United States,1986,1993,7,8,Killed six women and a schoolgirl in the South Los Angeles area between 1986 and 1993.,North America,United States,Male,1980s
Santa Rosa Hitchhiker Killer,United States,1972,1973,7,7,"""Santa Rosa Hitchhiker Murders"": Series of at least seven unsolved homicides involving female hitchhikers that took place in Sonoma County and Santa Rosa of the North Bay area of California in 1972 and 1973.",North America,United States,Male,1970s
Roger Kibbe,United States,1977,1987,7,7,"Known as ""The I-5 Strangler"", killed 7 women between 1977 and 1987. 6 along I-5 near Sacramento, and one in Walnut Creek, California. He was tried for the Walnut Creek murder by the Grand Jury before the body was found but in exchange for helping to find the body Kibbe was spared the death penalty and received life in prison. It took detectives 34 years to find the body.",North America,United States,Male,1970s
Connecticut River Valley Killer,United States,1978,1987,7,7,"Believed responsible for a series of similar knife murders mostly in and around Claremont, New Hampshire, and the Connecticut River Valley, primarily in the 1980s.",North America,United States,Male,1970s
Paul Durousseau,United States,1997,2003,7,7,A former soldier who strangled several women between the ages of 17 and 26 in the southeastern United States. He had the moniker of the Jacksonville Ripper and had the reputation of being a lewd womanizer.,North America,United States,Male,1990s
Todd Kohlhepp,United States,2003,2016,7,7,"A registered sex offender; Shot up a motorcycle shop in 2003, killing 4; killed 3 more victims in 2015 and 2016; is currently serving 7 life sentences for the crimes.",North America,United States,Male,2000s
Darren Deon Vann,United States,,2014,7,7,Confessed to the murders of at least seven women.,North America,United States,Male,<NA>s
Aileen Wuornos,United States,1989,1990,7,7,Sex worker that shot her victims at point blank range. Executed in 2002.,North America,United States,Female,1980s
Hu Daoping,China,2003,2005,7,7,"Career criminal who, following a jail escape in 1998, killed seven people during robberies.",Asia,China,Male,2000s
Nikos Metaxas,Cyprus,2016,2018,7,7,"A 35-year-old Cypriot Army officer who killed five women and two children between September 2016 and August 2018. These became known as the ""Mitsero murders."" Sentenced to 7 life sentences.",Asia,Cyprus,Male,2010s
José Misael Roldán Concha,Chile,1954,1957,7,7,"Killed an iron mine worker in 1954. After being free on parole, he killed a woman and five of her seven children. Originally sentenced to death, but was later imprisoned for life after a presidential pardon.",South America,Chile,Male,1950s
Sataro Fukiage,Japan,1906,1924,7,7,Killed seven girls aged 11 to 16 and raped between 93 and 100. Hanged in 1926.,Asia,Japan,Male,1900s
Joseph Taborsky,United States,1950,1957,7,7,"Joseph ""Mad Dog"" Taborsky was sentenced to death after brutal robberies and murders in Connecticut during the 1950s.",North America,United States,Male,1950s
Václav Mrázek,Czechoslovakia,1951,1956,7,7,Killed 7 women in Chomutov. Executed in 1957.,Europe,Czechoslovakia,Male,1950s
Anatoly Slivko,Soviet Union,1961,1985,7,7,"As a member of the Young Pioneers (Soviet Boy Scouts), Slivko gained the trust of 43 young boys over almost three decades, asphyxiated them until they fell unconscious, and then ritually molested, filmed, photographed and resuscitated them. The seven boys that didn't wake up were dismembered and burned. Minutes before his execution in 1989, police asked Slivko for advice in the investigation of Andrei Chikatilo's crimes.",Multiple continents,Soviet Union,Male,1960s
Cincinnati Strangler,United States,1965,1966,7,7,"Raped and strangled seven mostly elderly women in Cincinnati, Ohio between 1965 and 1966. Believed to be Posteal Laskey, who was convicted of one murder and died in prison on May 29, 2007.",North America,United States,Male,1960s
Émile Louis,France,1975,1978,7,7,"Bus driver that preyed on young handicapped women (seven murders) in the 1970s. Sentenced to life in prison on November 25, 2004.",Europe,France,Male,1970s
Paul Steven Haigh,Australia,1978,1991,7,7,Sentenced to life imprisonment without parole for the murders of seven people in Victoria.,Oceania,Australia,Male,1970s
Aleksey Sukletin,Soviet Union,1979,1985,7,7,"Known as ""The Alligator""; killed and cannibalized at least 7 girl and women from 1979 to 1985; executed 1987.",Multiple continents,Soviet Union,Male,1970s
Roberto Succo,"Italy, France",1981,1988,7,7,"In 1986 he escaped the mental hospital where he was recluded in for murdering his parents five years earlier and began a crime spree in Europe that included burglary, hijacking, kidnapping, rape and murder and earned him the Public Enemy Number One spot in Italy, France and Switzerland. Committed suicide in prison after failing to escape a second time.",Europe,Multiple Countries,Male,1980s
Walter E. Ellis,United States,1986,2007,7,7,"Known as ""The Milwaukee North Side Strangler""; convicted of killing 7 sex workers in Wisconsin between 1986 and 2007. Died in prison on December 1, 2013.",North America,United States,Male,1980s
Harrison Graham,United States,1987,1996,7,7,Convicted of killing seven women in Philadelphia and keeping their bodies in his apartment.,North America,United States,Male,1980s
Guy Georges,France,1991,1997,7,7,"Known as the ""Beast of the Bastille""; serving a life sentence for seven murders between 1991 and 1997.",Europe,France,Male,1990s
Motta Navas,India,1996,2012,7,7,"Active in Kollam, Kerala, Navas was arrested and imprisoned for his first two murders in 1996 and 2007. During his final crime spree in 2012, he bludgeoned to death five elderly pavement dwellers in their sleep, always after midnight. He feigned a mental illness to avoid suspicion by the police in at least two occasions.",Asia,India,Male,1990s
Paul Dennis Reid,United States,1997,2006,7,7,Reid killed the employees of restaurants he targeted for a series of robberies.,North America,United States,Male,1990s
Samuel Sidyno,South Africa,1998,1999,7,7,"Known as the ""Capital Hill Serial Killer"" murdered 7 people in Pretoria from 1998–1999.",Africa,South Africa,Male,1990s
Ripper Jayanandan,India,2003,2006,7,7,Killed seven people during robberies. Sentenced to death.,Asia,India,Male,2000s
Sibusiso Duma,South Africa,2007,2016,7,7,Murdered 7 people in the Pietermaritzburg area of KwaZulu Natal in 2007.,Africa,South Africa,Male,2000s
Tommy Lynn Sells,United States,1980,1999,6,46,Drifter active throughout the United States who specialized in killing children and multiple victims after breaking into their homes. Caught when a 10-year-old girl survived his attack and provided a description of him. Executed in 2014.,North America,United States,Male,1980s
Volker Eckert,"East Germany, Germany, France, Spain, Czech Republic, Italy",1974,2006,6,19,"German trucker who confessed to having abducted, tortured and killed five sex workers through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine murders (with four more being possible); he hanged himself in prison before being convicted.",Europe,Multiple Countries,Male,1970s
Lorenzo Gilyard,United States,1977,1993,6,13,"Known as ""The Kansas City Strangler"". Killed up to 13 sex workers in the Kansas City area from 1977 to 1993. Sentenced to life in 2007.",North America,United States,Male,1970s
Władysław Mazurkiewicz,Poland,1950,,6,30,"Known as ""The Gentleman Killer"". Indicted of, and confessed to having committed 30 murders; convicted of six and hanged in 1957.",Europe,Poland,Male,1950s
Gong Runbo,China,2005,2006,6,20,Found guilty of the murders of six children and teenagers aged between nine and 16 from 2005 to 2006; executed in 2007.,Asia,China,Male,2000s
The Doodler,United States,1974,1975,6,16,"Unidentified serial killer who sketched then stabbed to death 14 gay men in San Francisco. Surviving victims did not wish to testify, so the killer was not identified.",North America,United States,Unidentified,1970s
Cristopher Chávez Cuellar,Colombia,1990,,6,15,"Known as ""The Soulless""; killed between 6 and at least 15 people starting from the 1990s, including 4 underage brothers; sentenced to 40 years imprisonment.",South America,Colombia,Male,1990s
András Pándy,Belgium,1986,1990,6,14,"Former clergyman nicknamed ""Father Bluebeard"", killed his two wives and four of his children with the help of a fifth he was having an incestuous affair with, and whom denounced him to the authorities seven years later. Sentenced to life imprisonment in 2002.",Europe,Belgium,Male,1980s
John Wayne Glover,Australia,1989,1990,6,13,"British ex-pat living in Australia. Known by the media as ""The Granny Killer"" as he targeted elderly women; killed himself while in prison in 2005.",Oceania,Australia,Male,1980s
Alexander Sergeychik,Belarus,2000,2006,6,12,Killed between six and 12 people under the influence of alcohol. Executed in 2007.,Europe,Belarus,Male,2000s
Adrián Arroyo Gutiérrez,Costa Rica,2014,2015,6,11,"Known as ""The Southern Psychopath""; raped and strangled drug-addicted sex workers in San José; sentenced to 110 years imprisonment.",North America,Costa Rica,Male,2010s
Joseph Naso,United States,1977,1994,6,10,"A freelance photographers who raped and strangled to death women in California. Arrested in 2011 and sentenced to death two years later. Known as ""The Double Initial Killer"" since first four victims to be identified bore double initials.",North America,United States,Male,1970s
John George Haigh,United Kingdom,1944,1949,6,9,"Called the ""Acid Bath Murderer"" for dissolving his victims in sulphuric acid under the belief that he could not be prosecuted for murder if no body was found. He would then forge papers to sell the victims possessions. Confessed nine murders, convicted of six and hanged.",Europe,United Kingdom,Male,1940s
